,job_position
0,other
1,fullstackengineer
2,backendengineer
3,backendengineer
4,fullstackengineer
5,fullstackengineer
6,fullstackengineer
7,backendengineer
8,foo
9,foo
10,fullstackengineer
11,iosengineer
12,foo
13,dataanalyst
14,backendengineer
15,backendengineer
16,other
17,foo
18,foo
19,frontendengineer
20,qaengineer
21,engineeringleadership
22,datascientist
23,backendengineer
24,foo
25,backendengineer
26,foo
27,frontendengineer
28,engineeringintern
29,backendengineer
30,backendengineer
31,backendengineer
32,frontendengineer
33,other
34,androidengineer
35,fullstackengineer
36,foo
37,engineeringintern
38,qaengineer
39,qaengineer
40,other
41,researchengineers
42,fullstackengineer
43,frontendengineer
44,backendengineer
45,datascientist
46,fullstackengineer
47,fullstackengineer
48,foo
49,backendengineer
50,iosengineer
51,backendengineer
52,foo
53,fullstackengineer
54,foo
55,backendengineer
56,frontendengineer
57,fullstackengineer
58,backendengineer
59,backendengineer
60,other
61,sdet
62,other
63,foo
64,backendengineer
65,fullstackengineer
66,frontendengineer
67,datascientist
68,fullstackengineer
69,supportengineer
70,backendengineer
71,backendengineer
72,backendengineer
73,other
74,foo
75,foo
76,foo
77,other
78,other
79,qaengineer
80,fullstackengineer
81,foo
82,backendengineer
83,other
84,frontendengineer
85,other
86,backendengineer
87,other
88,other
89,securityleadership
90,fullstackengineer
91,foo
92,androidengineer
93,androidengineer
94,engineeringintern
95,fullstackengineer
96,qaengineer
97,supportengineer
98,qaengineer
99,other
100,foo
101,foo
102,backendengineer
103,dataanalyst
104,other
105,foo
106,supportengineer
107,fullstackengineer
108,backendengineer
109,qaengineer
110,other
111,qaengineer
112,other
113,fullstackengineer
114,backendengineer
115,foo
116,engineeringintern
117,backendengineer
118,backendengineer
119,foo
120,sdet
121,qaengineer
122,fullstackengineer
123,foo
124,backendengineer
125,frontendengineer
126,frontendengineer
127,engineeringintern
128,iosengineer
129,qaengineer
130,backendengineer
131,backendengineer
132,fullstackengineer
133,devopsengineer
134,fullstackengineer
135,fullstackengineer
136,researchengineers
137,fullstackengineer
138,foo
139,backendengineer
140,fullstackengineer
141,fullstackengineer
142,foo
143,researchengineers
144,productmanager
145,supportengineer
146,dataanalyst
147,other
148,supportengineer
149,backendengineer
150,backendengineer
151,frontendengineer
152,foo
153,backendengineer
154,foo
155,foo
156,other
157,backendengineer
158,foo
159,researchengineers
160,fullstackengineer
161,fullstackengineer
162,backendengineer
163,frontendengineer
164,devopsengineer
165,datascientist
166,foo
167,fullstackengineer
168,fullstackengineer
169,dataanalyst
170,frontendengineer
171,fullstackengineer
172,qaengineer
173,engineeringintern
174,fullstackengineer
175,qaengineer
176,fullstackengineer
177,androidengineer
178,androidengineer
179,fullstackengineer
180,fullstackengineer
181,backendengineer
182,other
183,androidengineer
184,other
185,supportengineer
186,other
187,researchengineers
188,backendengineer
189,fullstackengineer
190,researchengineers
191,backendengineer
192,foo
193,backendengineer
194,backendengineer
195,dataanalyst
196,fullstackengineer
197,backendengineer
198,backendengineer
199,other
200,supportengineer
201,foo
202,backendengineer
203,fullstackengineer
204,qaengineer
205,fullstackengineer
206,frontendengineer
207,engineeringleadership
208,fullstackengineer
209,foo
210,foo
211,backendengineer
212,frontendengineer
213,foo
214,backendengineer
215,androidengineer
216,fullstackengineer
217,foo
218,productmanager
219,fullstackengineer
220,dataanalyst
221,fullstackengineer
222,backendengineer
223,backendengineer
224,fullstackengineer
225,foo
226,dataanalyst
227,other
228,sdet
229,foo
230,androidengineer
231,foo
232,fullstackengineer
233,backendengineer
234,devopsengineer
235,fullstackengineer
236,supportengineer
237,engineeringintern
238,fullstackengineer
239,fullstackengineer
240,foo
241,foo
242,foo
243,backendengineer
244,other
245,engineeringleadership
246,fullstackengineer
247,other
248,programmanager
249,devopsengineer
250,fullstackengineer
251,foo
252,other
253,backendengineer
254,fullstackengineer
255,supportengineer
256,androidengineer
257,foo
258,datascientist
259,androidengineer
260,fullstackengineer
261,backendengineer
262,foo
263,fullstackengineer
264,foo
265,engineeringintern
266,fullstackengineer
267,dataanalyst
268,other
269,other
270,frontendengineer
271,productmanager
272,fullstackengineer
273,foo
274,sdet
275,other
276,fullstackengineer
277,backendengineer
278,foo
279,fullstackengineer
280,other
281,qaengineer
282,backendengineer
283,foo
284,backendengineer
285,backendengineer
286,foo
287,researchengineers
288,androidengineer
289,other
290,supportengineer
291,fullstackengineer
292,backendengineer
293,foo
294,qaengineer
295,androidengineer
296,foo
297,engineeringintern
298,backendengineer
299,datascientist
300,datascientist
301,qaengineer
302,qaengineer
303,frontendengineer
304,fullstackengineer
305,other
306,engineeringleadership
307,backendengineer
308,fullstackengineer
309,backendengineer
310,backendengineer
311,other
312,foo
313,backendengineer
314,backendengineer
315,other
316,cofounder
317,fullstackengineer
318,sdet
319,foo
320,dataanalyst
321,devopsengineer
322,other
323,other
324,qaengineer
325,memberoftechnicalstaff3
326,iosengineer
327,other
328,qaengineer
329,backendengineer
330,foo
331,supportengineer
332,dataanalyst
333,dataanalyst
334,fullstackengineer
335,backendengineer
336,other
337,other
338,fullstackengineer
339,backendengineer
340,foo
341,backendengineer
342,fullstackengineer
343,other
344,frontendengineer
345,supportengineer
346,qaengineer
347,androidengineer
348,backendengineer
349,qaengineer
350,other
351,fullstackengineer
352,researchengineers
353,backendengineer
354,dataanalyst
355,foo
356,datascientist
357,fullstackengineer
358,foo
359,engineeringintern
360,fullstackengineer
361,engineeringleadership
362,engineeringintern
363,fullstackengineer
364,foo
365,fullstackengineer
366,other
367,supportengineer
368,backendengineer
369,frontendengineer
370,foo
371,foo
372,foo
373,fullstackengineer
374,frontendengineer
375,backendengineer
376,fullstackengineer
377,backendengineer
378,androidengineer
379,fullstackengineer
380,androidengineer
381,foo
382,fullstackengineer
383,fullstackengineer
384,engineeringintern
385,backendengineer
386,backendengineer
387,fullstackengineer
388,foo
389,other
390,frontendengineer
391,foo
392,engineeringleadership
393,devopsengineer
394,engineeringintern
395,other
396,other
397,fullstackengineer
398,engineeringintern
399,fullstackengineer
400,foo
401,qaengineer
402,dataanalyst
403,researchengineers
404,fullstackengineer
405,backendengineer
406,backendengineer
407,fullstackengineer
408,qaengineer
409,backendengineer
410,foo
411,qaengineer
412,backendengineer
413,backendengineer
414,backendengineer
415,supportengineer
416,fullstackengineer
417,other
418,engineeringintern
419,androidengineer
420,fullstackengineer
421,datascientist
422,productdesigner
423,backendengineer
424,backendengineer
425,foo
426,foo
427,backendengineer
428,foo
429,backendengineer
430,supportengineer
431,frontendengineer
432,androidengineer
433,other
434,frontendengineer
435,androidengineer
436,foo
437,backendengineer
438,systemengineer
439,foo
440,sdet
441,foo
442,fullstackengineer
443,foo
444,frontendengineer
445,productmanager
446,fullstackengineer
447,other
448,backendengineer
449,fullstackengineer
450,other
451,foo
452,other
453,backendengineer
454,backendengineer
455,foo
456,fullstackengineer
457,other
458,backendengineer
459,other
460,fullstackengineer
461,fullstackengineer
462,frontendengineer
463,foo
464,other
465,sdet
466,other
467,qaengineer
468,foo
469,foo
470,qaengineer
471,other
472,foo
473,sdet
474,fullstackengineer
475,backendengineer
476,backendengineer
477,backendengineer
478,backendengineer
479,productmanager
480,fullstackengineer
481,other
482,fullstackengineer
483,other
484,foo
485,foo
486,backendengineer
487,qaengineer
488,other
489,foo
490,qaengineer
491,engineeringleadership
492,foo
493,fullstackengineer
494,supportengineer
495,supportengineer
496,cofounder
497,dataanalyst
498,fullstackengineer
499,other
500,qaengineer
501,fullstackengineer
502,supportengineer
503,frontendengineer
504,qaengineer
505,foo
506,backendengineer
507,foo
508,backendengineer
509,supportengineer
510,foo
511,dataanalyst
512,supportengineer
513,dataanalyst
514,backendengineer
515,devopsengineer
516,other
517,fullstackengineer
518,dataanalyst
519,backendengineer
520,other
521,backendengineer
522,foo
523,other
524,dataanalyst
525,backendengineer
526,other
527,foo
528,other
529,backendengineer
530,supportengineer
531,qaengineer
532,foo
533,other
534,fullstackengineer
535,backendengineer
536,supportengineer
537,frontendengineer
538,backendengineer
539,fullstackengineer
540,androidengineer
541,qaengineer
542,supportengineer
543,frontendengineer
544,datascientist
545,backendengineer
546,other
547,other
548,frontendengineer
549,other
550,devopsengineer
551,other
552,backendengineer
553,engineeringleadership
554,fullstackengineer
555,backendengineer
556,other
